English_code,Hindi_code
"
for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)
","
के_लिए ई में रेंज(10): #पहला_अंक
    के_लिए जे में रेंज(10): #दूसरा_अंक
        के_लिए के में रेंज(10): #तीसरा_अंक
            #शर्तों_की_जाँच
            यदि ई != 5 और जे != 5 और के != 5 और ई != जे और ई != के और जे != के:
                छापिये_(ई, जे, के)
"
"
def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4
","
परिभाषा गिनें_विशिष्ट_राज्य_अमेरिका(मैट्रिक्स):
    गिनें = 0
    राज्य_अमेरिका = सेट()
    के_लिए पंक्ति में मैट्रिक्स:
        के_लिए कर्नल में पंक्ति:
            राज्य = ''.जोड़(कर्नल)
            यदि राज्य ना में राज्य_अमेरिका:
                गिनें += 1
            राज्य_अमेरिका.योग(राज्य)
    वापस गिनें

मैट्रिक्स = [['ए', 'बी', 'सी'],
          ['ए', 'बी', 'डी'],
          ['ए', 'बी', 'सी']]
छापिये_(गिनें_विशिष्ट_राज्य_अमेरिका(मैट्रिक्स))
#आउटपुट:_4
"
"
def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result
","
परिभाषा निकाल_खाली_स्थान_और_विराम_चिह्न(एस):
    परिणाम = """"
    के_लिए चार में एस:
        यदि चार.अंकाक्षर_है():
            परिणाम += चार
    वापस परिणाम
"
"
import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""
","
आयात गणित

परिभाषा है_मुख्य(एन):
    #जाँचें_कि_संख्या_2_से_कम_है_या_पूर्णांक_नहीं_है
    यदि एन < 2 या ना उदाहरण_है(एन, अंक):
        वापस ""नहीं मुख्य""

    #जाँच_करें_कि_संख्या_2_से_n_के_वर्गमूल_तक_किसी_भी_पूर्णांक_से_विभाज्य_है_या_नहीं
    के_लिए ई में रेंज(2, गणित.आईएसक्यूआरटी(एन) + 1):
        यदि एन % ई == 0:
            वापस ""नहीं मुख्य""

    वापस ""मुख्य""
"
"
class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result
","
वर्ग डोरी:
    परिभाषा इस_में(खुद, डोरी):
        खुद.डोरी = डोरी

    परिभाषा बदल_विषम_घटनाओं(खुद, सबस्ट्रिंग, बदल_साथ):
        गिनें = खुद.डोरी.गिनें(सबस्ट्रिंग)
        यदि गिनें % 2 == 0 या गिनें == 0:
            वापस खुद.डोरी

        परिणाम = """"
        ढेर = []

        के_लिए ई में रेंज(लंबाई(खुद.डोरी)):
            यदि खुद.डोरी[ई:ई+लंबाई(सबस्ट्रिंग)] == सबस्ट्रिंग:
                यदि लंबाई(ढेर) > 0 और (ढेर[-1] == '(' या ढेर[-1] == '['):
                    ढेर.संलग्न(सबस्ट्रिंग)
                    परिणाम += सबस्ट्रिंग
                वरना_यदि लंबाई(ढेर) > 0 और (ढेर[-1] == ')' या ढेर[-1] == ']'):
                    ढेर.पॉप()
                    परिणाम += सबस्ट्रिंग
                वरना:
                    ढेर.संलग्न(सबस्ट्रिंग)
                    परिणाम += बदल_साथ
            वरना:
                परिणाम += खुद.डोरी[ई]

            यदि लंबाई(ढेर) > 0 और ढेर[-1] == सबस्ट्रिंग:
                ढेर.पॉप()

        वापस परिणाम
"
"
def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)
","
परिभाषा है_मुख्य(संख्या):
    यदि संख्या <= 1:
        वापस असत्य
    के_लिए ई में रेंज(2, अंक(संख्या**0.5) + 1):
        यदि संख्या % ई == 0:
            वापस असत्य
    वापस सत्य

परिभाषा है_अंक7(संख्या):
    जबतक संख्या > 0:
        यदि संख्या % 10 == 7:
            वापस सत्य
        संख्या //= 10
    वापस असत्य

परिभाषा योग_का_अभाज्य():
    योग_का_अभाज्य = 0
    के_लिए संख्या में रेंज(1000000, 2000001):
        यदि है_मुख्य(संख्या) और ना है_अंक7(संख्या):
            योग_का_अभाज्य += संख्या
    वापस योग_का_अभाज्य

परिणाम = योग_का_अभाज्य()
छापिये_("" योग का सब मुख्य नंबर बीच_में 1 दस_लाख और 2 दस_लाख, के_सिवा मुख्य नंबर वह रोकना  अंक 7, है:"", परिणाम)
"
"
def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)
","
परिभाषा है_मुख्य(संख्या):
    यदि संख्या < 2:
        वापस असत्य
    के_लिए ई में रेंज(2, अंक(संख्या ** 0.5) + 1):
        यदि संख्या % ई == 0:
            वापस असत्य
    वापस सत्य

परिभाषा ढूँढो_मुख्य_योग_सरणी(एन, एम, एक्स):
    मुख्य_योग_सरणी = []
    मौजूदा_संख्या = एम
    योग_इसलिए_दूर = 0

    जबतक लंबाई(मुख्य_योग_सरणी) < एन और मौजूदा_संख्या <= एक्स:
        यदि है_मुख्य(योग_इसलिए_दूर + मौजूदा_संख्या):
            मुख्य_योग_सरणी.संलग्न(मौजूदा_संख्या)
            योग_इसलिए_दूर += मौजूदा_संख्या
        मौजूदा_संख्या += एम

    यदि ना है_मुख्य(योग_इसलिए_दूर):
        वापस []

    वापस मुख्य_योग_सरणी

#उपयोग_का_उदाहरण
एन = 5
एम = 3
एक्स = 20

परिणाम = ढूँढो_मुख्य_योग_सरणी(एन, एम, एक्स)
छापिये_(परिणाम)
"
"
def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff
","
परिभाषा है_मुख्य(एन):
    यदि एन < 2:
        वापस असत्य
    के_लिए ई में रेंज(2, अंक(एन**0.5) + 1):
        यदि एन % ई == 0:
            वापस असत्य
    वापस सत्य

परिभाषा अधिकतम_मुख्य_अंतर(आगमन):
    अभाज्य = []
    के_लिए संख्या में आगमन:
        यदि है_मुख्य(निरपेक्ष_मान(संख्या)):
            अभाज्य.संलग्न(निरपेक्ष_मान(संख्या))
    यदि लंबाई(अभाज्य) < 2:
        वापस 0
    अधिकतम_अंतर = 0
    के_लिए ई में रेंज(लंबाई(अभाज्य)-1):
        अंतर = निरपेक्ष_मान(अभाज्य[ई] - अभाज्य[ई+1])
        यदि अंतर > अधिकतम_अंतर:
            अधिकतम_अंतर = अंतर
    वापस अधिकतम_अंतर
"
"
import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")
","
आयात गणित

परिभाषा calculate_त्रिकोण_ऊंचाई(कोण, ओर_लंबाई, विलोम_ओर_लंबाई, ओर_अनुपात):
    #कोण_को_डिग्री_से_रेडियन_में_बदलें
    कोण_रेड = गणित.रेडियंस(कोण)

    #साइन_के_नियम_का_उपयोग_करके_ऊंचाई_की_गणना_करें
    ऊंचाई = विलोम_ओर_लंबाई * गणित.पाप(कोण_रेड) / ओर_अनुपात

    #कोसाइन_के_नियम_का_उपयोग_करके_आसन्न_भुजा_की_लंबाई_की_गणना_करें
    नज़दीक_ओर_लंबाई = गणित.एसक्यूआरटी(ओर_लंबाई**2 + विलोम_ओर_लंबाई**2 - 2 * ओर_लंबाई * विलोम_ओर_लंबाई * गणित.ओल(कोण_रेड))

    #त्रिभुज_के_कर्ण_की_गणना_करें
    कर्ण = ओर_लंबाई / गणित.ओल(कोण_रेड)

    #पाइथागोरस_प्रमेय_का_उपयोग_करके_शेष_भुजा_की_गणना_करें
    शेष_ओर_लंबाई = गणित.एसक्यूआरटी(कर्ण**2 - नज़दीक_ओर_लंबाई**2)

    #त्रिभुज_की_अंतिम_ऊंचाई_की_गणना_करें
    ऊंचाई += शेष_ओर_लंबाई

    वापस ऊंचाई


परिभाषा अनुकरण_त्रिकोण_गति(प्रारंभिक_वेग, कोण, समय_अंतराल, वायु_प्रतिरोध=सत्य):
    #चर_आरंभ_करें
    एक्स = 0.0
    य = 0.0
    समय = 0.0

    #कोण_को_डिग्री_से_रेडियन_में_बदलें
    कोण_रेड = गणित.रेडियंस(कोण)

    #प्रारंभिक_वेग_की_गणना_करें
    वीएक्स = प्रारंभिक_वेग * गणित.ओल(कोण_रेड)
    वी = प्रारंभिक_वेग * गणित.पाप(कोण_रेड)

    #गति_का_अनुकरण_तब_तक_करें_जब_तक_y-निर्देशांक_ऋणात्मक_न_हो_जाए_(जमीन_तक_पहुंच_जाए)
    जबतक य >= 0:
        #वायु_प्रतिरोध_के_कारण_त्वरण_की_गणना_करें
        यदि वायु_प्रतिरोध:
            वायु_प्रतिरोध_त्वरण = -0.5 * वी**2 #वायु_प्रतिरोध_के_लिए_सरलीकृत_मॉडल
        वरना:
            वायु_प्रतिरोध_त्वरण = 0.0 #कोई_वायु_प्रतिरोध_नहीं

        #गतिज_समीकरणों_का_उपयोग_करके_नए_वेगों_की_गणना_करें
        वीएक्स += वायु_प्रतिरोध_त्वरण * गणित.ओल(कोण_रेड) * समय_अंतराल
        वी += (-9.8 + वायु_प्रतिरोध_त्वरण * गणित.पाप(कोण_रेड)) * समय_अंतराल

        #गतिज_समीकरणों_का_उपयोग_करके_नई_स्थिति_की_गणना_करें
        एक्स += वीएक्स * समय_अंतराल
        य += वी * समय_अंतराल

        #समय_बढ़ाएँ
        समय += समय_अंतराल

    वापस एक्स, य, समय


#उपयोग_का_उदाहरण
कोण = 45 #डिग्री_में_कोण
ओर_लंबाई = 5
विलोम_ओर_लंबाई = 3
ओर_अनुपात = 2
ऊंचाई = calculate_त्रिकोण_ऊंचाई(कोण, ओर_लंबाई, विलोम_ओर_लंबाई, ओर_अनुपात)
छापिये_(एफ"" ऊंचाई का  त्रिकोण है: {ऊंचाई}"")

प्रारंभिक_वेग = 10 #एमएस
समय_अंतराल = 0.01 #सेकंड
एक्स, य, कुल_समय = अनुकरण_त्रिकोण_गति(प्रारंभिक_वेग, कोण, समय_अंतराल, वायु_प्रतिरोध=सत्य)
छापिये_(एफ"" त्रिकोण पहुँच_गया  मैदान पर COORDINATES (एक्स={एक्स:.2एफ}एम, य={य:.2एफ}एम) में {कुल_समय:.2एफ}एस."")
"
"
import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""
","
आयात गणित

परिभाषा calculate_घेरा_क्षेत्र(RADIUS):
    प्रयत्न:
        RADIUS = दश(RADIUS)
        यदि RADIUS <= 0:
            वापस ""गलती: RADIUS अवश्य होना ए सकारात्मक संख्या""
        क्षेत्र = गणित.अनुकरणीय * RADIUS**2
        वापस ""{:.2एफ}"".प्रारूप(क्षेत्र)
    सिवाय मान_त्रुटि:
        वापस ""गलती: अमान्य इनपुट. RADIUS अवश्य होना ए संख्या""
"
